,Date,p1,p2,label
0,2023-07-05,Kidmario,Noé,0
1,2023-07-05,Killian,Wilfried,1
2,2023-07-05,Noé,Wilfried,1
3,2023-07-05,Kidmario,Killian,0
4,2023-07-05,Kidmario,Wilfried,0
5,2023-07-05,Killian,Noé,0
6,2023-07-05,Dylan LO,Martin,0
7,2023-07-05,Luka,Wali,1
8,2023-07-05,Luka,Martin,1
9,2023-07-05,Dylan LO,Wali,1
10,2023-07-05,Dylan LO,Luka,0
11,2023-07-05,Martin,Wali,1
12,2023-07-05,Mounir,Yassif,0
13,2023-07-05,Marlone,Sekou,1
14,2023-07-05,Sekou,Yassif,0
15,2023-07-05,Marlone,Mounir,0
16,2023-07-05,Mounir,Sekou,1
17,2023-07-05,Marlone,Yassif,1
18,2023-07-05,Lucky,Nasty,0
19,2023-07-05,Dany Dann,Fresh Mez,1
20,2023-07-05,Fresh Mez,Lucky,0
21,2023-07-05,Dany Dann,Nasty,1
22,2023-07-05,Fresh Mez,Nasty,0
23,2023-07-05,Dany Dann,Lucky,1
55,2023-04-21,Amin Drillz,Hynamite,0
56,2023-04-21,Hynamite,Sigma,1
57,2023-04-21,Amin Drillz,Koda,1
58,2023-04-21,El Vasi,Hynamite,0
59,2023-04-21,Ghostface,Sigma,0
60,2023-04-21,Amin Drillz,Pain,1
61,2023-04-21,Koda,Rocknroli,1
62,2023-04-21,Felipe Macanudo,Hynamite,0
63,2023-04-21,El Vasi,Guti,1
64,2023-04-21,Sigma,Valo,1
65,2023-04-21,Flo,Ghostface,0
66,2023-04-21,Amin Drillz,Julien,1
67,2023-04-21,Kelt,Pain,0
68,2023-04-21,Coolboy,Koda,0
69,2023-04-21,Istwan,Rocknroli,0
70,2023-03-05,Cis,Kid Colombia,0
71,2023-03-05,Cis,Nazgul,1
72,2023-03-05,Kid Colombia,Stepper,1
73,2023-03-05,Nazgul,Toby,1
74,2023-03-05,Cis,Timbo,1
75,2023-03-05,IT,Kid Colombia,0
76,2023-03-05,Stepper,Tawfiq,1
77,2023-03-05,Liam,Nazgul,0
78,2023-03-05,Kenji,Toby,0
79,2023-03-05,Bentwood,Timbo,0
80,2023-03-05,Cis,Levi,1
81,2023-03-05,HD,Kid Colombia,0
82,2023-03-05,IT,Legove,1
83,2023-03-05,Bwanna,Stepper,0
84,2023-03-05,Dullart,Tawfiq,0
92,2023-02-19,Geru,Kangur,0
93,2023-02-19,Geru,Minigun,1
94,2023-02-19,Jee Ess,Kangur,0
95,2023-02-19,Gieras,Minigun,0
96,2023-02-19,Bartek,Geru,0
97,2023-02-19,Kangur,Nikita,1
98,2023-02-19,Jee Ess,Mysliwy,1
99,2023-02-19,Chorzel,Gieras,0
100,2023-02-19,Lil Drill,Minigun,0
101,2023-02-19,Geru,Zawisza,1
102,2023-02-19,Amstaff,Bartek,0
103,2023-02-19,2Haj,Kangur,0
104,2023-02-19,Martin,Nikita,0
105,2023-02-19,Brzoza,Jee Ess,0
106,2023-02-19,Mefedroniks,Mysliwy,0
129,2022-11-11,Lil Zoo,Wigor,1
130,2022-11-11,Mighty Jim,Wigor,0
131,2022-11-11,Illz,Lil Zoo,0
132,2022-11-11,Ali,Wigor,0
133,2022-11-11,Mighty Jim,Mini Joe,1
134,2022-11-11,Illz,Ozzi,1
135,2022-11-11,Issin,Lil Zoo,0
136,2022-11-11,Create,Wigor,0
137,2022-11-11,Ali,Mathis,1
138,2022-11-11,Cri6,Mighty Jim,0
139,2022-11-11,Jester,Mini Joe,0
140,2022-11-11,Illz,Leony,1
141,2022-11-11,Onel,Ozzi,0
142,2022-11-11,Flying Machine,Lil Zoo,0
143,2022-11-11,Daga,Issin,0
159,2022-11-12,Lee,Victor,0
160,2022-11-12,Victor,Yu-ki,1
161,2022-11-12,Issin,Lee,0
162,2022-11-12,Phil Wizard,Victor,0
163,2022-11-12,Lil Zoo,Yu-ki,0
164,2022-11-12,Amir,Lee,0
165,2022-11-12,Alvin,Issin,0
166,2022-11-12,Marlone,Victor,0
167,2022-11-12,Mini Joe,Phil Wizard,0
168,2022-11-12,Wigor,Yu-ki,0
169,2022-11-12,Lil Zoo,Wildchild,1
170,2022-11-12,Illz,Lee,0
171,2022-11-12,Amir,Mighty Jim,1
172,2022-11-12,Issin,Lorenzo,1
173,2022-11-12,Alvin,Quake,1
194,2022-07-08,Chau-Lin,Double D,1
195,2022-07-08,Chau-Lin,Cicov,1
196,2022-07-08,Double D,Light,1
197,2022-07-08,Artform,Cicov,0
198,2022-07-08,Chau-Lin,Sarro,1
199,2022-07-08,Light,Termi,1
200,2022-07-08,Double D,Flo,1
201,2022-07-08,Artform,DeadlyDani,1
202,2022-07-08,Cicov,Toni,1
203,2022-07-08,Sarro,Yosemite Sam,1
204,2022-07-08,Chau-Lin,Mik the Menace,1
205,2022-07-08,Light,Red Rock,1
206,2022-07-08,LamJino,Termi,0
207,2022-07-08,Erik Daily,Flo,0
208,2022-07-08,Double D,Tapio,1
223,2022-04-16,Lil Zoo,Marox,1
224,2022-04-16,Hynamite,Lil Zoo,0
225,2022-04-16,Istwan,Marox,0
226,2022-04-16,Lil Zoo,Marci Marc,1
227,2022-04-16,Amin Drillz,Hynamite,0
228,2022-04-16,Animus,Istwan,0
229,2022-04-16,Ibot,Marox,0
230,2022-04-16,Lil Zoo,Mogli,1
231,2022-04-16,Marci Marc,Philmo,1
232,2022-04-16,Hynamite,Roc Lee,1
233,2022-04-16,Amin Drillz,Töma,1
234,2022-04-16,Animus,Sevone,1
235,2022-04-16,Ghostface,Istwan,0
236,2022-04-16,Koda,Marox,0
237,2022-04-16,Ibot,Rock'n'Roli,1
260,2021-10-14,Amir,Nori,0
261,2021-10-14,Amir,Johnny Fox,1
262,2021-10-14,Lee,Nori,0
263,2021-10-14,Johnny Fox,Kuzya,1
264,2021-10-14,Amir,Pac Pac,1
265,2021-10-14,Lion,Nori,0
266,2021-10-14,Lee,Quake,1
267,2021-10-14,Jester,Johnny Fox,0
268,2021-10-14,Kuzya,Sheku,1
269,2021-10-14,Pac Pac,Pesto,1
270,2021-10-14,Amir,Morris,1
271,2021-10-14,Lion,Shane,1
272,2021-10-14,Nori,Wild Child,1
273,2021-10-14,Lee,Mini Joe,1
274,2021-10-14,Quake,The Wolfer,1
290,2021-11-05,Amir,Phil Wizard,1
291,2021-11-05,Amir,Flea Rock,1
292,2021-11-05,Lee,Phil Wizard,0
293,2021-11-05,Flea Rock,Shigekix,1
294,2021-11-05,Amir,Zoopreme,1
295,2021-11-05,Bart,Phil Wizard,0
296,2021-11-05,Lee,TawfiQ,1
297,2021-11-05,Johnny Fox,Shigekix,0
298,2021-11-05,Flea Rock,Thomaz,1
299,2021-11-05,Amir,Sunni,1
300,2021-11-05,Wild Jerry,Zoopreme,0
301,2021-11-05,Nori,Phil Wizard,0
302,2021-11-05,Bart,Lagaet,1
303,2021-11-05,Lee,Xak,1
304,2021-11-05,Gun,TawfiQ,0
334,2020-11-28,Alkolil,Shigekix,0
335,2020-11-28,Alkolil,Lil Zoo,1
336,2020-11-28,Shigekix,Vero,1
337,2020-11-28,Alkolil,Pac Pac,1
338,2020-11-28,Lil Zoo,Philip,1
339,2020-11-28,Killa-Kolya,Vero,0
340,2020-11-28,Kid Karam,Shigekix,0
378,2020-04-21,Mini Joe,Zip Rock,1
379,2020-04-21,Cheerito,Zip Rock,0
380,2020-04-21,Gun,Mini Joe,0
381,2020-04-21,Cheerito,NoIndex,1
