,Date,p1,p2,label
24,2023-07-05,Mareva,Zouza,0
25,2023-07-05,Carlota,Lily Rose,1
26,2023-07-05,Lily Rose,Zouza,0
27,2023-07-05,Carlota,Mareva,1
28,2023-07-05,Lily Rose,Mareva,0
29,2023-07-05,Carlota,Zouza,1
30,2023-07-05,Anna,Ninah,0
31,2023-07-05,Romanesque,Syssy,0
32,2023-07-05,Ninah,Romanesque,1
33,2023-07-05,Anna,Syssy,0
34,2023-07-05,Anna,Romanesque,1
35,2023-07-05,Ninah,Syssy,0
36,2023-07-05,Clea,Célia,1
37,2023-07-05,Emma,Kimie,0
38,2023-07-05,Clea,Emma,1
39,2023-07-05,Célia,Kimie,0
40,2023-07-05,Célia,Emma,0
41,2023-07-05,Clea,Kimie,0
42,2023-07-05,Léonie,Warlène,0
43,2023-07-05,Lou Adele,Sarah Bee,0
44,2023-07-05,Lou Adele,Léonie,0
45,2023-07-05,Sarah Bee,Warlène,1
46,2023-07-05,Lou Adele,Warlène,0
47,2023-07-05,Léonie,Sarah Bee,0
48,2023-04-21,AirNastya,Sinaya,0
49,2023-04-21,Sinaya,SoFly,1
50,2023-04-21,AirNastya,Alinza,1
51,2023-04-21,Sinaya,casc8,1
52,2023-04-21,Ella,SoFly,0
53,2023-04-21,AirNastya,Blanca,1
54,2023-04-21,Alinza,Tatiana,1
85,2023-03-05,Jazzy,Pauline,0
86,2023-03-05,Cha-Ja,Pauline,0
87,2023-03-05,Jazzy,Zoe,1
88,2023-03-05,Evita,Pauline,0
89,2023-03-05,Cha-Ja,Spooky,1
90,2023-03-05,Vicky,Zoe,0
91,2023-03-05,Jazzy,Rocks,1
107,2023-02-19,Mery Berry,Paulina,0
108,2023-02-19,Anka,Paulina,0
109,2023-02-19,Houston,Mery Berry,0
110,2023-02-19,Maylo,Paulina,0
111,2023-02-19,Anka,Domka,1
112,2023-02-19,Darion,Houston,0
113,2023-02-19,Mery Berry,Sandi,1
114,2022-11-11,Alessandrina,Paulina,1
115,2022-11-11,Paulina,Vanessa,1
116,2022-11-11,Alessandrina,Sunny,1
117,2022-11-11,Paulina,SashaFox,1
118,2022-11-11,Vanessa,Yurie,1
119,2022-11-11,Alessandrina,Sayora,1
120,2022-11-11,Camine,Sunny,0
121,2022-11-11,Maia,SashaFox,0
122,2022-11-11,Paulina,Sidi,1
123,2022-11-11,Cha-Ja,Yurie,0
124,2022-11-11,Furia,Vanessa,0
125,2022-11-11,R Ning,Sayora,0
126,2022-11-11,Alessandrina,Carlota,1
127,2022-11-11,Camine,Roxy,0
128,2022-11-11,El Mamouny,Sunny,0
144,2022-11-12,India,Logistx,1
145,2022-11-12,Logistx,Sunny,1
146,2022-11-12,671,India,0
147,2022-11-12,Anti,Logistx,0
148,2022-11-12,Kimie,Sunny,0
149,2022-11-12,India,Swami,1
150,2022-11-12,671,Vanessa,1
151,2022-11-12,Emma,Logistx,0
152,2022-11-12,Anti,Yuika,1
153,2022-11-12,Kimie,Paulina,1
154,2022-11-12,Fresh Bella,Sunny,0
155,2022-11-12,India,Luma,1
156,2022-11-12,Carlota,Swami,0
157,2022-11-12,Isis,Vanessa,0
158,2022-11-12,671,Alessandrina,1
209,2022-07-08,Jojo,Prudance,1
210,2022-07-08,Jojo,Loopi,1
211,2022-07-08,Naomi,Prudance,0
212,2022-07-08,Loopi,Sude,1
213,2022-07-08,Jojo,Neeli,1
214,2022-07-08,Naomi,Sona,1
215,2022-07-08,Prudance,Tina The Turner,1
216,2022-04-16,Esthalavista,Sina,0
217,2022-04-16,Esthalavista,Manu,1
218,2022-04-16,Jennie-Love,Sina,0
219,2022-04-16,Esthalavista,Sinaya,1
220,2022-04-16,Gameova,Manu,0
221,2022-04-16,Sina,Soph,1
222,2022-04-16,Jennie-Love,Thaliya,1
253,2022-04-09,Sina,Sinaya,1
254,2022-04-09,Je Jè,Sinaya,0
255,2022-04-09,Nja,Sina,0
256,2022-04-09,Manu,Sinaya,0
257,2022-04-09,Alinza,Je Jè,0
258,2022-04-09,Sina,Soph,1
259,2022-04-09,Nja,Taby,1
275,2021-10-14,Ayumi,Vavi,1
276,2021-10-14,Stefani,Vavi,0
277,2021-10-14,Ayumi,Fanny,1
278,2021-10-14,Fresh Bella,Vavi,0
279,2021-10-14,Stefani,Vanessa,1
280,2021-10-14,Fanny,Killa Kim,1
281,2021-10-14,Ayumi,Isis,1
282,2021-10-14,Fresh Bella,Pauline,1
283,2021-10-14,Jilou,Vavi,0
284,2021-10-14,Ayane,Vanessa,0
285,2021-10-14,Mery Berry,Stefani,0
286,2021-10-14,Anti,Killa Kim,0
287,2021-10-14,Dora,Fanny,0
288,2021-10-14,Ayumi,Sayora,1
289,2021-10-14,Emma,Isis,0
305,2021-11-05,Logistx,Vavi,1
306,2021-11-05,Kastet,Vavi,0
307,2021-11-05,Logistx,Nadia,1
308,2021-11-05,Paulina,Vavi,0
309,2021-11-05,Kastet,Ram,1
310,2021-11-05,Nadia,Sidi,1
311,2021-11-05,Ayumi,Logistx,0
312,2021-11-05,Madmax,Vavi,0
313,2021-11-05,Luma,Paulina,0
314,2021-11-05,Ram,Stefani,1
315,2021-11-05,Carito,Kastet,0
316,2021-11-05,Fanny,Sidi,0
317,2021-11-05,Ami,Nadia,0
318,2021-11-05,Ayumi,San Andrea,1
319,2021-11-05,Logistx,Yell,1
327,2020-11-28,Kastet,Madmax,1
328,2020-11-28,Ayane,Kastet,0
329,2020-11-28,Jilou,Madmax,0
330,2020-11-28,Ayane,Kami,1
331,2020-11-28,Kastet,Mess,1
332,2020-11-28,Jilou,Sina,1
333,2020-11-28,Madmax,Sunny,1
356,2020-05-09,Ami,Kastet,1
357,2020-05-09,Ami,San Andrea,1
358,2020-05-09,Ayane,Kastet,0
359,2020-05-09,Ami,Yell,1
360,2020-05-09,Kate,San Andrea,0
361,2020-05-09,Jilou,Kastet,0
362,2020-05-09,Ayane,Carito,1
443,2019-09-20,Frost,Loopi,0
444,2019-09-20,Joëlle Camarell,Loopi,0
445,2019-09-20,Frost,Viola Luba,1
476,2019-08-17,Annasty,Ayumi,0
477,2019-08-17,Ayumi,Yurie,1
478,2019-08-17,Annasty,Ayu,1
479,2019-08-17,Ayumi,Yuika,1
480,2019-08-17,Eri,Yurie,0
481,2019-08-17,Ayu,Ram,1
482,2019-08-17,Annasty,Ayane,1
498,2019-04-13,RawGina,Vanessa,0
499,2019-04-13,Munirat,Vanessa,0
500,2019-04-13,RawGina,Shortbread,1
501,2019-04-13,Angel,Vanessa,0
502,2019-04-13,Munirat,Zana,1
503,2019-04-13,Fidget,Shortbread,0
504,2019-04-13,Jenn,RawGina,0
557,2019-03-16,Camine,Mariabliss,1
558,2019-03-16,Mariabliss,Stormy,1
559,2019-03-16,Camine,Madmax,1
580,2018-12-15,Indi,Solid,0
581,2018-12-15,Sabri,Solid,0
582,2018-12-15,Gamora,Indi,0
791,2023-06-07,Piuma,Sofy,0
792,2023-06-07,Shargh,Termogirl,1
793,2023-06-07,Piuma,Termogirl,1
794,2023-06-07,Shargh,Sofy,0
795,2023-06-07,Lady Bug,Mimi,0
796,2023-06-07,Saretta,Tara,1
797,2023-06-07,Lady Bug,Saretta,1
798,2023-06-07,Mimi,Tara,1
799,2023-06-07,Little Sofy,Soli,1
800,2023-06-07,Dilly,Frizzy,1
801,2023-06-07,Dilly,Little Sofy,0
802,2023-06-07,Frizzy,Soli,0
803,2023-06-07,Chimpa-Fresh,Spidergirl,0
804,2023-06-07,Cami,Mati,1
805,2023-06-07,Mati,Spidergirl,0
806,2023-06-07,Cami,Chimpa-Fresh,0
807,2023-06-07,Caterpillar,Jesly,0
808,2023-06-07,Asy,Fabi,1
809,2023-06-07,Caterpillar,Fabi,1
810,2023-06-07,Asy,Jesly,0
811,2023-06-07,Gin Tonic,Ludovica,1
812,2023-07-08,Jilou,Pauline,1
813,2023-07-08,Melina,Sona,1
814,2023-07-08,Pauline,Sona,1
815,2023-07-08,Jilou,Melina,1
816,2023-07-08,Sona,Steelish,1
817,2023-07-08,Alicia,Pauline,0
818,2023-07-08,Melina,Meow,1
819,2023-07-08,Jilou,Loopi,1
820,2023-07-08,Mer-C,Tina the Turner,0
821,2023-07-08,Loopi,Sona,0
822,2023-07-08,Loopi,Tina the Turner,1
823,2023-07-08,Mer-C,Sona,0
824,2023-07-08,Loopi,Mer-C,1
825,2023-07-08,Sona,Tina the Turner,1
826,2023-07-08,Alicia,Sude,1
827,2023-07-08,Melina,Yasmin Tee,1
829,2023-07-08,Melina,Sude,1
830,2023-07-08,Sude,Yasmin Tee,0
831,2023-07-08,Alicia,Melina,1
832,2023-07-08,Joanna,Meow,0
833,2023-07-08,Jayda,Pauline,0
834,2023-07-08,Jayda,Joanna,0
835,2023-07-08,Meow,Pauline,0
836,2023-07-08,Jayda,Meow,0
837,2023-07-08,Joanna,Pauline,0
838,2023-07-08,FreeZen,Steelish,0
839,2023-07-08,Jilou,Luisa,1
840,2023-07-08,FreeZen,Luisa,1
841,2023-07-08,Jilou,Steelish,1
842,2023-07-08,Luisa,Steelish,0
843,2023-07-08,FreeZen,Jilou,0
892,2023-06-25,Urara,koharu,0
893,2023-06-25,Suzuna,koharu,0
894,2023-06-25,Miria,Urara,0
895,2023-06-25,Michika,Suzuna,0
903,2023-06-25,Kaede,Sawa,1
904,2023-06-25,Kaede,Kyoka,1
905,2023-06-25,NaNaKa,Sawa,0
906,2023-06-25,Kaede,cocoa,1
907,2023-06-25,Kyoka,Rein,1
908,2023-06-25,NaNaKa,Tomomi,1
909,2023-06-25,Raika,Sawa,0
917,2023-06-24,Jazzy Jes,Leaf,1
918,2023-06-24,Jin,Shayne,1
919,2023-06-24,Jazzy Jes,Shayne,1
920,2023-06-24,Jin,Leaf,0
953,2023-06-24,B-Girl J,Chili,1
954,2023-06-24,Celine,Nova,1
955,2023-06-24,Chili,Nova,1
956,2023-06-24,B-Girl J,Celine,1
989,2023-10-14,Jilou,Melina,0
990,2023-10-14,Pauline,Sona,0
991,2023-10-14,Melina,Sona,1
992,2023-10-14,Jilou,Pauline,1
993,2023-10-14,Bereaved Neeli,Sona,0
994,2023-10-14,Melina,Tina the Turner,1
995,2023-10-14,Alicia,Jilou,0
996,2023-10-14,Loopi,Pauline,0
997,2023-10-14,Bereaved Neeli,Meow,1
998,2023-10-14,Sona,YasminTee,1
999,2023-10-14,Sude,Tina the Turner,0
1000,2023-10-14,Melina,Mer-C,1
1001,2023-10-14,Alicia,Joanna,1
1002,2023-10-14,Jilou,Steelish,1
1003,2023-10-14,Liya Jackson,Loopi,0
1004,2023-10-14,FreeZen,Pauline,0
1020,2023-06-23,Madmax,StefAni,0
1021,2023-06-23,Camine,StefAni,0
1022,2023-06-23,Jilou,Madmax,0
1023,2023-06-23,Camine,Missy,1
1024,2023-06-23,Mimì,StefAni,0
1025,2023-06-23,Jilou,Rule,1
1026,2023-06-23,Madmax,Solid,1
1035,2023-06-16,Emina,Valkyrie,0
1036,2023-06-16,Hellcat,Kreya,1
1037,2023-06-16,Hellcat,Valkyrie,0
1038,2023-06-16,Emina,Kreya,1
1039,2023-04-06,Pebblz Luv,Swami,0
1040,2023-04-06,Sarah Bee,Shortbread,1
1041,2023-04-06,Camine,Paulina,1
1042,2023-04-06,Emma,Yell,1
1043,2023-04-06,Alicia Anais,Starry,0
1044,2023-04-06,Eru,Yuika,0
1045,2023-04-06,La Vix,Snap1,1
1046,2023-04-06,Jilou,Konatsu,0
1047,2023-04-06,Jia Li,Madmax,0
1048,2023-04-06,Honokaa,Kami,1
1049,2023-04-06,Riko,SashaFox,1
1050,2023-04-06,Lady Banan,Yuina,0
1051,2023-04-06,Fresh Bella,Pep-C,1
1052,2023-04-06,Ayane,Lua,1
1053,2023-04-06,B-Nice,Chura,0
1054,2023-04-06,Logistx,Monse,1
1055,2023-04-06,Ayane,Riko,0
1056,2023-04-06,Fresh Bella,Swami,1
1057,2023-04-06,Ayane,Fresh Bella,1
1058,2023-04-06,Riko,Swami,1
1059,2023-04-06,Ayane,Sarah Bee,1
1060,2023-04-06,Emma,Fresh Bella,0
1061,2023-04-06,Honokaa,Riko,0
1062,2023-04-06,Konatsu,Swami,0
1063,2023-04-06,Sarah Bee,Starry,1
1064,2023-04-06,Ayane,Camine,1
1065,2023-04-06,Emma,La Vix,1
1066,2023-04-06,Chura,Fresh Bella,0
1067,2023-04-06,Honokaa,Yuina,1
1068,2023-04-06,Riko,Yuika,1
1069,2023-04-06,Madmax,Swami,0
1070,2023-04-06,Konatsu,Logistx,1
1103,2023-02-24,671,Ami,1
1104,2023-02-24,Anti,Sunny,1
1105,2023-02-24,671,Anti,1
1106,2023-02-24,Ami,Sunny,1
