,Date,p1,p2,label
174,2022-10-15,Karlo,Phil6,1
175,2022-10-15,Albert,Kid Hamster,0
176,2022-10-15,Kid Hamster,Phil6,0
177,2022-10-15,Albert,Karlo,0
178,2022-10-15,Noah,Phil6,0
179,2022-10-15,Kid Hamster,Leon,1
180,2022-10-15,Karlo,Pablo,1
181,2022-10-15,Albert,Samuel,1
182,2022-10-15,Lee-On,Rico,0
183,2022-10-15,Miron,Schnipie,1
184,2022-10-15,Miron,Rico,0
185,2022-10-15,Lee-On,Schnipie,1
186,2022-10-15,Lia,Rico,0
187,2022-10-15,Miron,Sakul,1
188,2022-10-15,Noah,Schnipie,0
189,2022-10-15,Anna-Lia,Lee-On,0
190,2022-10-15,Leon,Samuel,0
191,2022-10-15,Leonard,Philip,0
192,2022-10-15,Leon,Philip,1
193,2022-10-15,Leonard,Samuel,0
238,2022-04-09,LooseFit,Noris,0
239,2022-04-09,LooseFit,Rubio,1
240,2022-04-09,Ibot,Noris,0
241,2022-04-09,Hynamite,LooseFit,0
242,2022-04-09,Jonny,Rubio,0
243,2022-04-09,Noris,Tik,1
244,2022-04-09,Ibot,Jet Leg,1
245,2022-04-09,Flo,Hynamite,0
246,2022-04-09,Animus,LooseFit,0
247,2022-04-09,Jonny,Tasic,1
248,2022-04-09,Aranha,Rubio,0
249,2022-04-09,Koda,Noris,0
250,2022-04-09,Speedy,Tik,0
251,2022-04-09,Ibot,Shox,1
252,2022-04-09,Jet Leg,Roll,1
320,2021-09-18,Anthony,B-Boy K.G,1
321,2021-09-18,Anthony,Mattix,0
322,2021-09-18,B-Boy K.G,Maflex,1
323,2021-09-18,Anthony,Lil Gio,1
324,2021-09-18,Aiko,Mattix,0
325,2021-09-18,B-Boy K.G,Djibril,1
326,2021-09-18,Danger,Maflex,0
341,2020-05-23,Four,King Bart,0
342,2020-05-23,Four,Yoga,1
343,2020-05-23,KennyG,King Bart,0
344,2020-05-23,Lian,Yoga,0
345,2020-05-23,Four,RM,1
346,2020-05-23,King Bart,ShowMilk,1
347,2020-05-23,KennyG,Sprite,1
348,2020-05-23,Lian,Shao,1
349,2020-05-23,WillyRoc,Yoga,0
350,2020-05-23,Four,Quake,1
351,2020-05-23,Hertz,RM,0
352,2020-05-23,Saru,ShowMilk,0
353,2020-05-23,King Bart,Lilma,1
354,2020-05-23,QD,Sprite,0
355,2020-05-23,Jhao,KennyG,0
363,2020-05-08,Jeian,Matita,0
364,2020-05-08,Jeian,Peaky Rock,1
365,2020-05-08,Matita,Salo,1
366,2020-05-08,Ojitos,Peaky Rock,0
367,2020-05-08,Jeian,Ratin,1
368,2020-05-08,Dany Swing,Salo,0
369,2020-05-08,Kieron,Matita,0
370,2020-05-08,Nazgul,Ojitos,0
371,2020-05-08,Peaky Rock,Ryoji,1
372,2020-05-08,Mucha,Ratin,0
373,2020-05-08,Bene,Jeian,0
374,2020-05-08,Dany Swing,Flowmer,1
375,2020-05-08,Kingzoo,Salo,0
376,2020-05-08,Kieron,Nomuf,1
377,2020-05-08,James,Matita,0
409,2020-04-04,Nasty Ray,Ratin,1
410,2020-04-04,Ratin,Thesis,1
411,2020-04-04,Gieras,Nasty Ray,0
412,2020-04-04,Moa,Thesis,0
413,2020-04-04,Ratin,Shane,1
414,2020-04-04,Nasty Ray,Uzee Rock,1
415,2020-04-04,Gieras,Wing Zero,1
416,2020-04-04,Grom,Malish,1
417,2020-04-04,Raptor,Tsukki,0
418,2020-04-04,Grom,Lil E,1
419,2020-04-04,Malish,Weapon X,1
420,2020-04-04,Alexis,Tsukki,0
421,2020-04-04,Gustas,Raptor,0
422,2020-01-18,Lee-On,Sakul,1
423,2020-01-18,Chaos Craiser,Lee-On,0
424,2020-01-18,Karlo,Sakul,0
425,2020-01-18,Korbi,Lee-On,0
426,2020-01-18,Anna-Lia,Chaos Craiser,0
427,2020-01-18,Jonas,Karlo,0
428,2020-01-18,Angerer,Sakul,0
429,2019-11-30,Lee-On,Sakul,1
430,2019-11-30,Anna-Lia,Lee-On,0
431,2019-11-30,Maik MD,Sakul,0
432,2019-11-30,Anna-Lia,Chaos Craiser,1
433,2019-11-30,Coppi,Lee-On,0
434,2019-11-30,Jonas,Sakul,0
435,2019-11-30,Lolo,Maik MD,0
436,2019-11-09,Fabez,Tik,0
437,2019-11-09,Fabez,Optimus Primo,1
438,2019-11-09,Sirk,Tik,0
439,2019-11-09,Fabez,Super D,1
440,2019-11-09,Mogli,Optimus Primo,0
441,2019-11-09,K.Y.S.,Tik,0
442,2019-11-09,Funky C,Sirk,0
505,2019-04-12,Cicov,Harlekin,0
506,2019-04-12,Cicov,Flash,1
507,2019-04-12,Ghostface,Harlekin,0
508,2019-04-12,Cicov,Killapain,1
509,2019-04-12,Flash,Funky C,1
510,2019-04-12,Ghostface,Intus,1
511,2019-04-12,Harlekin,Töma,1
512,2019-04-12,Killapain,Rock Lee,1
