,key,rating,valid_from,valid_to
0,Free,1500.0,2017-05-11,2017-06-10
1,Free,1489.7207695679235,2017-06-10,2017-06-10
2,Free,1480.01654330743,2017-06-10,2017-06-10
3,Free,1470.591080003661,2017-06-10,2017-12-17
4,Free,1461.704896476338,2017-12-17,2017-12-17
5,Free,1452.564129850034,2017-12-17,2017-12-17
6,Free,1443.6299554678296,2017-12-17,
7,Daz,1500.0,2017-05-11,2019-04-13
8,Daz,1490.0,2019-04-13,
9,Shoggs,1500.0,2017-05-11,2019-04-13
10,Shoggs,1490.017468498001,2019-04-13,
11,Pape,1500.0,2017-05-11,2022-05-26
12,Pape,1492.0482893354347,2022-05-26,
13,Yu-ki,1500.0,2017-05-11,2019-08-17
14,Yu-ki,1490.117419261586,2019-08-17,2022-11-12
15,Yu-ki,1503.4424890099199,2022-11-12,2022-11-12
16,Yu-ki,1498.740230205963,2022-11-12,2022-11-12
17,Yu-ki,1511.2034323669031,2022-11-12,
18,Anton,1500.0,2017-05-11,2019-09-20
19,Anton,1510.0,2019-09-20,2019-09-20
20,Anton,1519.71225631668,2019-09-20,2019-09-20
21,Anton,1529.14549997581,2019-09-20,2019-09-20
22,Anton,1538.3085872825525,2019-09-20,
23,Orion,1500.0,2017-05-11,2023-06-25
24,Orion,1489.6887330169166,2023-06-25,
25,Hadzik,1500.0,2017-05-11,2022-05-26
26,Hadzik,1489.4245713910598,2022-05-26,
27,Sekou,1500.0,2017-05-11,2023-07-05
28,Sekou,1489.5812144448214,2023-07-05,2023-07-05
29,Sekou,1480.164363829531,2023-07-05,2023-07-05
30,Sekou,1470.7554584853708,2023-07-05,
31,Flea Rock,1500.0,2017-05-11,2021-11-05
32,Flea Rock,1490.5693693126038,2021-11-05,2021-11-05
33,Flea Rock,1505.1399551973377,2021-11-05,2021-11-05
34,Flea Rock,1514.9920261864854,2021-11-05,
35,Red Rock,1500.0,2017-05-11,2022-07-08
36,Red Rock,1489.7415729829156,2022-07-08,2023-07-08
37,Red Rock,1500.0367484747646,2023-07-08,2023-07-08
38,Red Rock,1489.1326648963498,2023-07-08,2023-07-08
39,Red Rock,1480.1901612350157,2023-07-08,2023-07-08
40,Red Rock,1490.7241440152868,2023-07-08,2023-07-08
41,Red Rock,1500.4547815230574,2023-07-08,2023-10-14
42,Red Rock,1510.4416918660888,2023-10-14,2023-10-14
43,Red Rock,1500.1926929041026,2023-10-14,
44,D-Soul,1500.0,2017-05-11,2017-12-02
45,D-Soul,1490.0,2017-12-02,2017-12-02
46,D-Soul,1480.5832654286248,2017-12-02,2017-12-02
47,D-Soul,1471.1415428849418,2017-12-02,
48,Levi,1500.0,2017-05-11,2023-03-05
49,Levi,1489.2507532153597,2023-03-05,
50,Wild Jerry,1500.0,2017-05-11,2021-06-26
51,Wild Jerry,1489.704714255194,2021-06-26,2021-11-05
52,Wild Jerry,1479.7531335111476,2021-11-05,
53,Qube,1500.0,2017-05-11,2019-09-20
54,Qube,1490.0082819270542,2019-09-20,2019-09-20
55,Qube,1500.5830556197036,2019-09-20,2019-09-20
56,Qube,1510.5662739457284,2019-09-20,2023-07-08
57,Qube,1500.7276373452764,2023-07-08,2023-07-08
58,Qube,1489.720709397356,2023-07-08,2023-07-08
59,Qube,1499.4026944394154,2023-07-08,2023-07-08
60,Qube,1508.8886983586565,2023-07-08,
61,Jui,1500.0,2017-05-11,2023-06-25
62,Jui,1490.0,2023-06-25,
63,Lucky,1500.0,2017-05-11,2019-03-16
64,Lucky,1510.2960185560382,2019-03-16,2019-03-16
65,Lucky,1519.999762038887,2019-03-16,2019-03-16
66,Lucky,1529.7120251989677,2019-03-16,2019-03-16
67,Lucky,1519.145275488833,2019-03-16,2021-06-26
68,Lucky,1508.3245404550423,2021-06-26,2022-05-26
69,Lucky,1518.08498675976,2022-05-26,2022-05-26
70,Lucky,1508.4704040101224,2022-05-26,2022-05-26
71,Lucky,1517.9802618237563,2022-05-26,2022-05-26
72,Lucky,1527.7506118094225,2022-05-26,2022-10-21
73,Lucky,1516.6767573069012,2022-10-21,2022-11-05
74,Lucky,1525.8103908811918,2022-11-05,2022-11-05
75,Lucky,1516.3650856343527,2022-11-05,2023-02-24
76,Lucky,1525.896714970566,2023-02-24,2023-02-24
77,Lucky,1515.0988606023393,2023-02-24,2023-06-23
