,key,rating,valid_from,valid_to,ranking,deviation,volatility
0,Marox,"(1500.0, 350.0, 0.06)",2017-05-11,2022-04-16,1500.0,350.0,0.06
1,Marox,"(1569.7432135636502, 298.5826148374746, 0.0599990026278787)",2022-04-16,2022-04-16,1569.7432135636502,298.5826148374746,0.0599990026278787
2,Marox,"(1769.5274926623638, 254.3574231657362, 0.06000103409975114)",2022-04-16,2022-04-16,1769.5274926623638,254.3574231657362,0.06000103409975114
3,Marox,"(1824.581786418411, 233.7915714911744, 0.06000035129149586)",2022-04-16,2022-04-16,1824.581786418411,233.7915714911744,0.06000035129149586
4,Marox,"(1695.9713814342012, 205.93732370222654, 0.060000500282311214)",2022-04-16,2022-10-21,1695.9713814342012,205.93732370222654,0.060000500282311214
5,Marox,"(1598.0173789994915, 193.36295833314608, 0.060001543351238425)",2022-10-21,,1598.0173789994915,193.36295833314608,0.060001543351238425
6,Huey Flava,"(1500.0, 350.0, 0.06)",2017-05-11,2019-04-24,1500.0,350.0,0.06
7,Huey Flava,"(1662.3108949761174, 290.3189646747521, 0.06)",2019-04-24,2019-04-24,1662.3108949761174,290.3189646747521,0.06
8,Huey Flava,"(1532.6872355719054, 247.46328220962738, 0.05999982707317091)",2019-04-24,2019-04-24,1532.6872355719054,247.46328220962738,0.05999982707317091
9,Huey Flava,"(1659.8039444061349, 214.953921890359, 0.06000071003656129)",2019-04-24,2019-04-24,1659.8039444061349,214.953921890359,0.06000071003656129
10,Huey Flava,"(1570.7400346428333, 195.805280704411, 0.06000083728554443)",2019-04-24,,1570.7400346428333,195.805280704411,0.06000083728554443
11,Gatoty,"(1500.0, 350.0, 0.06)",2017-05-11,2020-04-21,1500.0,350.0,0.06
12,Gatoty,"(1337.6891050238826, 290.3189646747521, 0.06)",2020-04-21,,1337.6891050238826,290.3189646747521,0.06
13,Matto,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-21,1500.0,350.0,0.06
14,Matto,"(1347.1538531319968, 259.72445010849725, 0.05999937389702582)",2022-10-21,,1347.1538531319968,259.72445010849725,0.05999937389702582
15,Lb,"(1500.0, 350.0, 0.06)",2017-05-11,2022-10-21,1500.0,350.0,0.06
16,Lb,"(1460.6359895720416, 314.15275091223737, 0.059999259745054025)",2022-10-21,,1460.6359895720416,314.15275091223737,0.059999259745054025
17,Kosto,"(1500.0, 350.0, 0.06)",2017-05-11,2021-06-26,1500.0,350.0,0.06
18,Kosto,"(1796.8678067889869, 282.65840839233897, 0.060003851355323254)",2021-06-26,2021-06-26,1796.8678067889869,282.65840839233897,0.060003851355323254
19,Kosto,"(1865.2588675284492, 242.63081500125585, 0.06000282374781666)",2021-06-26,2021-06-26,1865.2588675284492,242.63081500125585,0.06000282374781666
20,Kosto,"(1944.735947351934, 210.56206663029943, 0.060001946963357686)",2021-06-26,2021-06-26,1944.735947351934,210.56206663029943,0.060001946963357686
21,Kosto,"(1968.8337188795372, 202.36171068470006, 0.0600014541360809)",2021-06-26,2021-06-26,1968.8337188795372,202.36171068470006,0.0600014541360809
22,Kosto,"(1981.8791466401697, 196.19833125976635, 0.06000099224084463)",2021-06-26,,1981.8791466401697,196.19833125976635,0.06000099224084463
23,Wildchild,"(1500.0, 350.0, 0.06)",2017-05-11,2022-11-12,1500.0,350.0,0.06
24,Wildchild,"(1449.700812387261, 303.67936280502397, 0.05999902659876851)",2022-11-12,,1449.700812387261,303.67936280502397,0.05999902659876851
