,key,rating,valid_from,valid_to
0,Aby,1500.0,2017-05-11,2022-05-26
1,Aby,1490.56675634087,2022-05-26,
2,Kona,1500.0,2017-05-11,2019-04-20
3,Kona,1490.2960185560382,2019-04-20,
4,Fabi,1500.0,2017-05-11,2023-06-07
5,Fabi,1490.0,2023-06-07,2023-06-07
6,Fabi,1480.28774368332,2023-06-07,
7,Carla,1500.0,2017-05-11,2022-10-21
8,Carla,1489.723634988458,2022-10-21,2022-11-05
9,Carla,1480.9729911727316,2022-11-05,2023-02-24
10,Carla,1475.7108745632497,2023-02-24,
11,Warlène,1500.0,2017-05-11,2023-07-05
12,Warlène,1509.454130356763,2023-07-05,2023-07-05
13,Warlène,1519.2022477601483,2023-07-05,2023-07-05
14,Warlène,1509.9060004744458,2023-07-05,
15,Valkyrie,1500.0,2017-05-11,2023-06-16
16,Valkyrie,1510.28774368332,2023-06-16,2023-06-16
17,Valkyrie,1520.2711798405728,2023-06-16,
18,Prudance,1500.0,2017-05-11,2022-07-08
19,Prudance,1490.5753266643549,2022-07-08,2022-07-08
20,Prudance,1500.8465240523394,2022-07-08,2022-07-08
21,Prudance,1510.8221591797562,2022-07-08,
22,Kim,1500.0,2017-05-11,2021-12-04
23,Kim,1492.7552234431698,2021-12-04,2021-12-04
24,Kim,1502.7356287287646,2021-12-04,2021-12-04
25,Kim,1492.4522875045,2021-12-04,2022-05-26
26,Kim,1482.9071724568087,2022-05-26,2022-05-26
27,Kim,1493.1112920881264,2022-05-26,2022-05-26
28,Kim,1482.801910447407,2022-05-26,2022-10-21
29,Kim,1474.3030682932765,2022-10-21,2022-10-21
30,Kim,1466.999818214131,2022-10-21,2022-10-21
31,Kim,1477.9722060843467,2022-10-21,2022-10-21
32,Kim,1489.4427047041568,2022-10-21,2022-10-21
33,Kim,1500.3947343035572,2022-10-21,
34,Alinza,1500.0,2017-05-11,2022-04-09
35,Alinza,1490.0,2022-04-09,2023-04-21
36,Alinza,1480.28774368332,2023-04-21,2023-04-21
37,Alinza,1490.85450002419,2023-04-21,
38,Yuika,1500.0,2017-05-11,2019-08-17
39,Yuika,1490.3051057513985,2019-08-17,2022-10-21
40,Yuika,1486.494622980973,2022-10-21,2022-11-12
41,Yuika,1478.4596673369094,2022-11-12,2023-04-06
42,Yuika,1489.4473217465866,2023-04-06,2023-04-06
43,Yuika,1481.5799614383668,2023-04-06,
44,Soli,1500.0,2017-05-11,2023-06-07
45,Soli,1509.71225631668,2023-06-07,2023-06-07
46,Soli,1499.7288201594272,2023-06-07,
47,Ami,1500.0,2017-05-11,2019-06-23
48,Ami,1510.0,2019-06-23,2019-06-23
49,Ami,1519.71225631668,2019-06-23,2019-06-23
50,Ami,1529.14549997581,2019-06-23,2019-06-23
51,Ami,1538.3085872825525,2019-06-23,2019-06-23
52,Ami,1548.1726957019641,2019-06-23,2019-09-14
53,Ami,1557.7961162434253,2019-09-14,2019-09-14
54,Ami,1565.1777827220085,2019-09-14,2019-09-14
55,Ami,1573.0860425880537,2019-09-14,2019-09-14
56,Ami,1581.3057492062942,2019-09-14,2019-09-14
57,Ami,1589.250504016435,2019-09-14,2019-09-14
58,Ami,1598.3790614834707,2019-09-14,2020-05-09
59,Ami,1605.6208106990262,2020-05-09,2020-05-09
