Date,Event,Category,Method,Gender,Round_Number,Judge,Winner_In_Round,Overall,Technique_Physical,Variety_Artistic,Performance_Interpretive,Musicality,Creativity,Personality,color
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kujo,Furia,6.6,5.2,0.0,2.0,0.93,1.8,0.67,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Valentine,Furia,7.33,0.0,0.0,4.0,0.0,2.0,1.33,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Spin,Furia,5.27,0.0,0.0,1.8,1.6,0.0,1.87,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Katsu One,Luma,3.13,2.0,0.4,2.0,1.07,1.4,1.6,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kim,Furia,3.8,0.0,0.0,2.2,1.6,0.0,0.0,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Kujo,Luma,3.67,2.0,0.0,2.0,0.67,1.4,1.07,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Valentine,Furia,3.33,0.0,0.0,2.0,0.0,0.0,1.33,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Spin,Luma,8.07,3.2,2.67,2.2,0.0,0.0,0.0,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Katsu One,Furia,2.93,1.0,0.53,0.0,1.2,1.0,1.2,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Kim,Furia,2.67,1.4,0.13,3.4,0.53,0.0,0.0,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kujo,Pauline,1.87,2.4,0.0,0.0,1.33,2.4,0.53,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Valentine,Syssy,5.93,2.6,0.0,2.0,0.0,0.0,1.33,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Spin,Syssy,5.8,4.0,0.0,1.8,0.0,0.0,0.0,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Katsu One,Pauline,3.2,1.4,0.8,1.6,1.47,2.2,1.33,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kim,Pauline,3.4,0.0,0.4,2.2,0.8,0.0,0.0,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Kujo,Pauline,3.4,2.8,0.0,2.4,0.27,1.0,1.07,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Valentine,Syssy,7.33,0.0,0.0,4.0,0.0,2.0,1.33,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Spin,Pauline,5.07,2.0,1.07,2.0,0.0,0.0,0.0,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Katsu One,Syssy,3.4,1.6,0.8,1.0,0.8,0.0,1.2,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Kim,Pauline,1.2,1.4,0.8,1.8,0.0,0.0,0.0,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kujo,Swami,0.8,2.0,0.0,2.0,1.33,3.2,1.33,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Valentine,Swami,2.33,1.0,0.0,0.0,0.0,0.0,1.33,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Spin,Madmax,8.87,0.0,1.33,3.8,2.27,0.0,1.47,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Katsu One,Madmax,1.13,1.4,0.67,2.0,0.93,1.6,1.33,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kim,Madmax,4.73,1.4,0.0,2.8,1.2,0.0,2.13,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Kujo,Madmax,2.67,0.2,0.0,0.0,1.6,2.6,1.33,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Valentine,Madmax,9.73,0.4,0.0,6.0,0.0,2.0,1.33,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Spin,Madmax,9.67,0.0,1.33,3.2,1.73,3.4,0.0,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Katsu One,Madmax,5.6,1.0,0.27,2.0,1.07,1.0,0.27,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r2,Kim,Madmax,2.33,2.8,0.67,2.2,1.6,0.0,0.67,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kujo,Sunny,0.07,3.4,0.0,0.0,1.07,1.6,0.8,blue
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Valentine,Riko,2.4,2.4,0.0,0.0,0.0,0.0,0.0,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Spin,Riko,5.07,4.0,3.07,0.0,2.0,0.0,0.0,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Katsu One,Riko,2.07,2.2,0.0,0.8,1.33,1.6,1.2,red
2023-02-24,WDSF BfG World Series - Kitakyushu 2023 - Japan,B-Girls Top 32 PreQualifier,trivium,Female,r1,Kim,Sunny,1.2,0.4,0.0,0.0,1.6,0.0,0.0,blue
