,key,rating,valid_from,valid_to
0,Drummer Man,1500.0,2017-09-23,2017-12-09
1,Drummer Man,1489.71225631668,2017-12-09,
2,Baby Ball,1500.0,2017-09-23,2017-12-09
3,Baby Ball,1490.0,2017-12-09,
4,Anton,1500.0,2017-09-23,2018-12-08
5,Anton,1510.0,2018-12-08,2018-12-08
6,Anton,1519.71225631668,2018-12-08,2018-12-08
7,Anton,1528.859147547024,2018-12-08,2018-12-08
8,Anton,1538.0304195738477,2018-12-08,
9,Roo,1500.0,2017-09-23,2017-12-09
10,Roo,1490.28774368332,2017-12-09,
11,Yoga,1500.0,2017-09-23,2020-05-23
12,Yoga,1490.0323810760233,2020-05-23,2020-05-23
13,Yoga,1500.6064634281597,2020-05-23,2020-05-23
14,Yoga,1510.589008025274,2020-05-23,
15,Nazgul,1500.0,2017-09-23,2020-05-08
16,Nazgul,1490.0,2020-05-08,
17,Red Rock,1500.0,2017-09-23,2018-12-08
18,Red Rock,1509.7526274444067,2018-12-08,2018-12-08
19,Red Rock,1519.4719979650536,2018-12-08,2018-12-08
20,Red Rock,1529.1994394715846,2018-12-08,
21,James,1500.0,2017-09-23,2020-05-08
22,James,1490.0,2020-05-08,
23,Alkolil,1500.0,2017-09-23,2017-11-04
24,Alkolil,1510.0,2017-11-04,2017-11-04
25,Alkolil,1499.71225631668,2017-11-04,
26,Ami,1500.0,2017-09-23,2017-12-09
27,Ami,1510.0,2017-12-09,2017-12-09
28,Ami,1499.71225631668,2017-12-09,
29,Dany Dann,1500.0,2017-09-23,2017-11-04
30,Dany Dann,1490.0,2017-11-04,
31,Marox,1500.0,2017-09-23,2018-04-07
32,Marox,1510.0,2018-04-07,2018-04-07
33,Marox,1500.2797064113495,2018-04-07,2018-04-07
34,Marox,1510.5594059780071,2018-04-07,2018-09-01
35,Marox,1500.2555753866163,2018-09-01,2019-03-15
36,Marox,1489.9605077193103,2019-03-15,2023-11-25
37,Marox,1500.249387136991,2023-11-25,2023-11-25
38,Marox,1510.5299586776853,2023-11-25,2023-11-25
39,Marox,1520.8741398915313,2023-11-25,
40,Deny,1500.0,2017-09-23,2018-12-08
41,Deny,1490.28774368332,2018-12-08,2018-12-08
42,Deny,1500.5754873666401,2018-12-08,
43,Jacob,1500.0,2017-09-23,2018-12-15
44,Jacob,1510.0,2018-12-15,2018-12-15
45,Jacob,1519.71225631668,2018-12-15,
46,Mogli,1500.0,2017-09-23,2018-03-17
47,Mogli,1490.0243429749087,2018-03-17,2018-03-17
48,Mogli,1500.31138658979,2018-03-17,2018-04-12
49,Mogli,1510.5896996588986,2018-04-12,2018-04-12
50,Mogli,1501.6390984518814,2018-04-12,2018-04-12
51,Mogli,1511.879698100347,2018-04-12,2018-09-01
52,Mogli,1501.5459404710596,2018-09-01,2019-04-12
53,Mogli,1491.2768409141124,2019-04-12,2019-11-09
54,Mogli,1481.2400906438743,2019-11-09,
