,key,rating,valid_from,valid_to,ranking,deviation,volatility
0,Marox,"(1500.0, 350.0, 0.06)",2017-05-11,2018-04-07,1500.0,350.0,0.06
1,Marox,"(1662.3108949761174, 290.3189646747521, 0.06)",2018-04-07,2018-04-07,1662.3108949761174,290.3189646747521,0.06
2,Marox,"(1554.5476432507326, 244.29757298606506, 0.05999927137647976)",2018-04-07,2018-04-07,1554.5476432507326,244.29757298606506,0.05999927137647976
3,Marox,"(1678.060100098176, 218.31960158442098, 0.06000022633013254)",2018-04-07,2018-09-01,1678.060100098176,218.31960158442098,0.06000022633013254
4,Marox,"(1572.3816807960548, 203.12291818148705, 0.060001196788072836)",2018-09-01,2019-03-15,1572.3816807960548,203.12291818148705,0.060001196788072836
5,Marox,"(1455.4930278323016, 184.6779894785111, 0.06000369049048847)",2019-03-15,2023-11-25,1455.4930278323016,184.6779894785111,0.06000369049048847
6,Marox,"(1519.0139341581971, 174.3191544350916, 0.06000395539423593)",2023-11-25,2023-11-25,1519.0139341581971,174.3191544350916,0.06000395539423593
7,Marox,"(1593.2952094918883, 164.65803664074772, 0.06000533871629622)",2023-11-25,2023-11-25,1593.2952094918883,164.65803664074772,0.06000533871629622
8,Marox,"(1670.690439691128, 152.87204959914936, 0.06000702566862124)",2023-11-25,,1670.690439691128,152.87204959914936,0.06000702566862124
9,Roll,"(1500.0, 350.0, 0.06)",2017-05-11,2022-04-09,1500.0,350.0,0.06
10,Roll,"(1341.0886559565924, 272.1510248495378, 0.05999969675830974)",2022-04-09,,1341.0886559565924,272.1510248495378,0.05999969675830974
11,JN,"(1500.0, 350.0, 0.06)",2017-05-11,2023-11-25,1500.0,350.0,0.06
12,JN,"(1245.978903081535, 277.03487992115566, 0.060002480037499244)",2023-11-25,,1245.978903081535,277.03487992115566,0.060002480037499244
13,Yoga,"(1500.0, 350.0, 0.06)",2017-05-11,2020-05-23,1500.0,350.0,0.06
14,Yoga,"(1331.454837571909, 267.9607161344405, 0.05999989232232424)",2020-05-23,2020-05-23,1331.454837571909,267.9607161344405,0.05999989232232424
15,Yoga,"(1534.2417787652873, 244.34780295912472, 0.06000284322583237)",2020-05-23,2020-05-23,1534.2417787652873,244.34780295912472,0.06000284322583237
16,Yoga,"(1622.378522524887, 221.345478120952, 0.060002652035360406)",2020-05-23,,1622.378522524887,221.345478120952,0.060002652035360406
17,KennyG,"(1500.0, 350.0, 0.06)",2017-05-11,2020-05-23,1500.0,350.0,0.06
18,KennyG,"(1662.3108949761174, 290.3189646747521, 0.06)",2020-05-23,2020-05-23,1662.3108949761174,290.3189646747521,0.06
19,KennyG,"(1520.820949158488, 246.97848972167156, 0.060000093945033146)",2020-05-23,2020-05-23,1520.820949158488,246.97848972167156,0.060000093945033146
20,KennyG,"(1612.9394603470234, 223.23186653384516, 0.05999997515637164)",2020-05-23,,1612.9394603470234,223.23186653384516,0.05999997515637164
21,Nevi,"(1500.0, 350.0, 0.06)",2017-05-11,2019-04-12,1500.0,350.0,0.06
22,Nevi,"(1337.6891050238826, 290.3189646747521, 0.06)",2019-04-12,,1337.6891050238826,290.3189646747521,0.06
23,Chaos Craiser,"(1500.0, 350.0, 0.06)",2017-05-11,2019-11-30,1500.0,350.0,0.06
24,Chaos Craiser,"(1337.6891050238826, 290.3189646747521, 0.06)",2019-11-30,2020-01-18,1337.6891050238826,290.3189646747521,0.06
25,Chaos Craiser,"(1532.2347883811549, 247.6945251353496, 0.060001658532528354)",2020-01-18,2020-01-18,1532.2347883811549,247.6945251353496,0.060001658532528354
26,Chaos Craiser,"(1482.3285674506133, 221.91375025264279, 0.06000043638110565)",2020-01-18,,1482.3285674506133,221.91375025264279,0.06000043638110565
27,Uzee Rock,"(1500.0, 350.0, 0.06)",2017-05-11,2020-04-04,1500.0,350.0,0.06
28,Uzee Rock,"(1402.9349096923836, 287.4954928665874, 0.059998955860549166)",2020-04-04,,1402.9349096923836,287.4954928665874,0.059998955860549166
29,Gustas,"(1500.0, 350.0, 0.06)",2017-05-11,2020-04-04,1500.0,350.0,0.06
